main_activity,clustered,tilt_subsector
wholesaler,hemp gummies,Food Related Products
wholesaler,hemp oil,Food Related Products
wholesaler,hemp sweets,Food Related Products
wholesaler,herbal medicinal products,Food Related Products
wholesaler,hides,Agriculture & Livestock
wholesaler,high mountain honey,Food Related Products
wholesaler,hinges,Shipping
wholesaler,hip figurines,Construction Buildings
wholesaler,hip stones,Construction Buildings
wholesaler,hippocrepis unisiliquosa,Agriculture & Livestock
wholesaler,hoists,Machinery & Equipment
wholesaler,honey,Agriculture & Livestock
wholesaler,horse,Agriculture & Livestock
wholesaler,horse feed,Agriculture & Livestock
wholesaler,hose connectors,Machinery & Equipment
wholesaler,hotel rooms minibars,Food Related Products
wholesaler,hotel with restaurant,Food Related Products
wholesaler,hyacinth bulbs,Agriculture & Livestock
wholesaler,hyaluronic acid,Food Related Products
wholesaler,hyaluronic acid gel,Food Related Products
wholesaler,hydraulic cylinder,Automotive LDV
wholesaler,hydraulic vibrators,Construction Buildings
wholesaler,hydrometers,Automotive LDV
wholesaler,ice cubes,Food Related Products
wholesaler,incense,Construction Residential
wholesaler,industrial cars,Automotive HDV
wholesaler,industrial fatty alcohols,Food Related Products
wholesaler,industrial plastics,Other Non-metallic Minerals
wholesaler,industrial racks,Construction Buildings
wholesaler,industrial service,Construction Buildings
wholesaler,information panels,Other Industry
wholesaler,injection applications,Construction Residential
wholesaler,inorganic chemicals,Other Non-metallic Minerals
wholesaler,installation cranes,Machinery & Equipment
wholesaler,insulin syringes,Food Related Products
wholesaler,international relocation,Construction Buildings
wholesaler,"iron, mineral enrichment",Other Non-metallic Minerals
wholesaler,italian pizza ingredients,Food Related Products
wholesaler,jacuzzi pump,Machinery & Equipment
wholesaler,jams,Food Related Products
wholesaler,japanese cuisine,Food Related Products
wholesaler,jasmine rice,Food Related Products
wholesaler,jeans,Automotive LDV
wholesaler,jewellery case,Machinery & Equipment
wholesaler,journals,Oil Energy
wholesaler,jugs for beverages,Other Industry
wholesaler,jumpers,Machinery & Equipment
wholesaler,kayaks,Shipping
wholesaler,kernels,Food Related Products
wholesaler,keyboard instruments,Other Industry
wholesaler,kitchen hood,Machinery & Equipment
wholesaler,kitchen items,Food Related Products
wholesaler,kitchen knives,Food Related Products
wholesaler,kitchen technology,Machinery & Equipment
wholesaler,kneading machines for bakeries,Machinery & Equipment
wholesaler,komatsu parts,Machinery & Equipment
wholesaler,korean children clothing,Agriculture & Livestock
wholesaler,korean women fashion,Agriculture & Livestock
wholesaler,la mancha saffron,Food Related Products
wholesaler,label holders,Machinery & Equipment
wholesaler,laboratory coating machines,Construction Residential
wholesaler,laboratory samples,Other Industry
wholesaler,lactic acid,Food Related Products
wholesaler,ladders,Construction Buildings
wholesaler,leather,Automotive LDV
wholesaler,leather good,Automotive LDV
wholesaler,led display components,Automotive LDV
wholesaler,licorice-liquorice-licorice extracts,Food Related Products
wholesaler,life vests,Shipping
wholesaler,lift accessory,Machinery & Equipment
wholesaler,lift trucks,Machinery & Equipment
wholesaler,lifting - vehicles,Machinery & Equipment
wholesaler,lifting gear,Construction Buildings
wholesaler,lighting for hotels,Construction Residential
wholesaler,"lighting, domestic",Construction Residential
wholesaler,lightinh for restaurants,Food Related Products
wholesaler,linen,Construction Residential
wholesaler,"linen, commercial",Machinery & Equipment
wholesaler,"linen, industrial",Machinery & Equipment
wholesaler,lip gloss,Machinery & Equipment
wholesaler,liquid food supplement,Food Related Products
wholesaler,liquorice,Food Related Products
wholesaler,livestock services,Agriculture & Livestock
wholesaler,locks,Construction Residential
wholesaler,logistics contractor,Total Energy
wholesaler,lorries,Automotive HDV
wholesaler,lounge suits,Machinery & Equipment
wholesaler,lubricants for metalwork aids,Oil Energy
wholesaler,maca products,Agriculture & Livestock
wholesaler,macadamia nuts,Food Related Products
wholesaler,machine commissioning,Machinery & Equipment
wholesaler,machine maintenance,Machinery & Equipment
wholesaler,machines for bakeries,Machinery & Equipment
wholesaler,machines for non-destructive material testing,Construction Buildings
wholesaler,machining centre for metals,Machinery & Equipment
wholesaler,machining centre repairs,Construction Residential
wholesaler,madagascar pink peppercorns,Food Related Products
wholesaler,made in france fragrance diffusers,Food Related Products
wholesaler,magnesium,Other Metals
wholesaler,"magnesium, mineral enrichment",Other Non-metallic Minerals
wholesaler,magnetic insulation,Construction Residential
wholesaler,magnetic pockets,Machinery & Equipment
wholesaler,maintenance of installations,Construction Residential
wholesaler,malic acid,Food Related Products
wholesaler,maltitol,Food Related Products
wholesaler,manganese ores,Iron & Steel
wholesaler,manual transmissions,Automotive HDV
wholesaler,maritime security system,Shipping
wholesaler,marketing,Other Industry
wholesaler,marketing of musts,Food Related Products
wholesaler,marketing strategy consultants,Other Industry
wholesaler,marzipan,Food Related Products
wholesaler,marzipan decorations,Food Related Products
wholesaler,masks,Food Related Products
wholesaler,mass measurement instruments,Agriculture & Livestock
wholesaler,mass regulation instruments,Agriculture & Livestock
wholesaler,materials testing,Construction Buildings
wholesaler,means of transport,Other Transport
wholesaler,measurement for swimming pools,Construction Buildings
wholesaler,measuring temperature,Machinery & Equipment
wholesaler,mechanical cutting machines for raw tobacco,Machinery & Equipment
wholesaler,mechanical gearboxes,Automotive LDV
wholesaler,mechanical mixers for raw tobacco,Machinery & Equipment
wholesaler,medical packaging,Other Metals
wholesaler,medical test,Agriculture & Livestock
wholesaler,mediterranean food,Food Related Products
wholesaler,mesh box labelling,Machinery & Equipment
wholesaler,"metals, heavy",Iron & Steel
wholesaler,"metals, special",Chemicals
wholesaler,mica,Construction Buildings
wholesaler,micaceous iron ore,Construction Buildings
wholesaler,milling machine,Machinery & Equipment
wholesaler,minced saffron,Food Related Products
wholesaler,mineral raw material,Construction Buildings
wholesaler,miniature relays,Automotive LDV
wholesaler,miniature roofing tiles,Construction Buildings
wholesaler,mirrors,Construction Buildings
wholesaler,monosodium glutamate,Food Related Products
wholesaler,mortars for construction work,Construction Buildings
wholesaler,moto-reducers,Machinery & Equipment
wholesaler,motor capacitors,Renewable Energy
wholesaler,motor vehicle windscreen-wiper blades,Automotive LDV
wholesaler,motorcycle boots,Automotive LDV
wholesaler,motorcycle helmets,Automotive LDV
wholesaler,multifunctional time delay relays,Construction Residential
wholesaler,mutton sheep,Agriculture & Livestock
wholesaler,nail polish,Construction Buildings
wholesaler,narcissus bulbs,Agriculture & Livestock
wholesaler,natural essentiel oil flavourings,Food Related Products
wholesaler,natural-based cosmetics,Food Related Products
wholesaler,needles for syringes,Food Related Products
wholesaler,negin saffron,Agriculture & Livestock
wholesaler,nescafé,Food Related Products
wholesaler,"nets, technical",Construction Residential
wholesaler,new budget-priced barrels,Food Related Products
wholesaler,new discounted barrels,Food Related Products
wholesaler,nido milk powder,Other Industry
wholesaler,nitrile gloves,Food Related Products
wholesaler,non-ferrous metal bar,Other Metals
wholesaler,non-food,Total Power
wholesaler,non-food products,Other Transport
wholesaler,nut bars,Food Related Products
wholesaler,nut packaging,Food Related Products
wholesaler,nut products,Food Related Products
wholesaler,nutmeg,Food Related Products
wholesaler,oak casks,Food Related Products
wholesaler,oak wood barrels,Food Related Products
wholesaler,offal,Agriculture & Livestock
wholesaler,oil - petrol engines,Oil Energy
wholesaler,oil mist collectors,Iron & Steel
wholesaler,oil-drain screws,Construction Buildings
wholesaler,oiling machines,Iron & Steel
wholesaler,omega 3 marine oils,Food Related Products
wholesaler,operating elements (standard parts),Other Metals
wholesaler,ordinary pasta shapes,Food Related Products
wholesaler,oregano,Agriculture & Livestock
wholesaler,"organic acids, lactates",Food Related Products
wholesaler,organic cbd oil,Food Related Products
wholesaler,organic guarana nuts,Agriculture & Livestock
wholesaler,organic hemp,Food Related Products
wholesaler,organic honey,Agriculture & Livestock
wholesaler,organic soil improvers,Agriculture & Livestock
wholesaler,organic sugar beet molasses,Agriculture & Livestock
wholesaler,organic sugar cane molasses,Agriculture & Livestock
wholesaler,organics hemp oil,Food Related Products
wholesaler,original from germany,Other Metals
wholesaler,original from holland,Other Transport
wholesaler,ornamental shrubs,Agriculture & Livestock
wholesaler,overalls,Machinery & Equipment
wholesaler,packaged basil,Food Related Products
wholesaler,packaged watermelons,Food Related Products
wholesaler,paint,Construction Residential
wholesaler,paint shop requirements,Automotive LDV
wholesaler,paint shops,Automotive LDV
wholesaler,palett rack,Construction Buildings
wholesaler,palettes,Construction Residential
wholesaler,pallet nets,Construction Buildings
wholesaler,palm seedlings,Agriculture & Livestock
wholesaler,park benches,Construction Buildings
wholesaler,parking bollards,Construction Buildings
wholesaler,pasta,Food Related Products
wholesaler,pasta products,Food Related Products
wholesaler,paving tiles,Construction Buildings
